2025-11-05T23:22:25 | OK | agregar_gasto
2025-11-05T23:22:32 | OK | agregar_gasto
2025-11-05T23:22:36 | OK | agregar_gasto
2025-11-05T23:22:38 | OK | agregar_gasto
2025-11-05T23:22:40 | OK | agregar_gasto
2025-11-05T23:22:42 | OK | eliminar_gasto
2025-11-05T23:22:47 | OK | modificar_gasto
2025-11-05T23:22:51 | OK | eliminar_gasto
2025-11-05T23:22:53 | OK | agregar_gasto
2025-11-05T23:22:57 | OK | modificar_gasto
2025-11-05T23:24:38 | OK | agregar_gasto
2025-11-05T23:24:41 | OK | eliminar_gasto
2025-11-05T23:24:45 | OK | modificar_gasto
